,lower,upper
AAA,0.0,0.0
AA+,0.0,0.0
AA,0.0,0.0
AA-,0.0,0.0
A+,0.0,0.0
A,0.0,0.0
A-,0.0,0.0
BBB+,0.0,0.0
BBB,0.0,0.0
BBB-,-2.1592764373312288,10.051936263692713
BB+,-1.1556195060308618,24.64358192529099
BB,-2.1472741309213834,17.184868115883788
BB-,25.33309003057199,70.02885188533611
B+,38.875141147417594,83.35809307788799
B,62.85269179069855,101.48584559631873
B-,239.99924596731933,343.762316211509
CCC+,1143.9473589748243,1525.9555536465348
CCC,1975.4564997125628,2742.285435771308
CCC-,2498.996127092364,3654.85002675379
CC,2345.1879608810873,3861.708590843051
